cp_mbi_arms_dealer,1.19,5.1,^2Laswell:^7 Para que esta misión tenga éxito deben suprimir la cadena de suministros de Al Qatala.,,
cp_mbi_arms_dealer,6.03,15.25,^2Kamarov: ^7Este es, un traficante llamado "señor Z". La Corte Criminal Internacional busca a Z por "conspiración en transportar, vender y suministrar armas a una organización terrorista".,,
cp_mbi_arms_dealer,16.1,21.06,^2Laswell:^7 Al parecer el Sr. Z se centró en un cliente exclusivo, el nuevo n.º 1 de Al Qatala...,,
cp_mbi_arms_dealer,21.2,25.26,^2Laswell:^7 Y se posicionó a sí mismo como el proveedor y asesor del líder terrorista.,,
cp_mbi_arms_dealer,26.11,35.06,^2Kamarov: ^7Una médica voluntaria en terreno, la Dra. Linda Morales, nos informó que Z ha estado usando cargamentos médicos para trasladar materiales peligrosos a Verdansk.,,
cp_mbi_arms_dealer,35.29,39.1,^2Kamarov:^7 Hace cuatro horas, operativos de Al Qatala la tomaron como rehén.,,
cp_mbi_arms_dealer,39.18,46.13,^2Laswell: ^7El objetivo del Armisticio es rescatar a la Dra. Morales. Si Z trajo armas químicas a esta pelea, puede que sepa dónde están.,,
cp_mbi_banker,0.05,4.26,^2Laswell: ^7La guerra en Verdansk ocurre en un mercado negro. Implica dinero sucio y alguien que lo limpie.,,
cp_mbi_banker,5.05,11.15,^2Kamarov: ^7Para eso, Al Qatala usa un banquero inglés, uno de nuestros VIP más importantes y el responsable de lavar su dinero.,,
cp_mbi_banker,11.29,18.25,^2Laswell:^7 No sabemos el nombre del banquero, pero sí que opera una torre de servidores que lava bien el dinero de Al Qatala para convertirlo en armas.,,
cp_mbi_banker,19.07,27.06,^2Kamarov:^7 Necesitamos una fuerza de ataque en terreno para detener estas transacciones. Su equipo capturará a los hostiles para averiguar dónde están sus servidores.,,
cp_mbi_banker,27.18,34.15,^2Laswell:^7 Cuando obtengan datos suficientes, los triangularemos, congelaremos sus activos e intentaremos revocar el certificado de nacimiento del hombre a cargo.,,
cp_mbi_banker,35.13,41,^2Laswell: ^7Lo que deben hacer, es ir al país. Capturen soldados de Al Qatala para obtener información sobre el banquero.,,
cp_mbi_landlord,0.05,4.27,^2Laswell: ^7Yo soy la oficial Laswell de la Coalición. Yo estoy al mando junto al sargento Kamarov de la Unión.,,
cp_mbi_landlord,5.01,10.28,^2Kamarov:^7 Dejamos nuestras diferencias de lado. Juntos, como Armisticio, esta es la primera acción en contra del ejército Al Qatala.,,
cp_mbi_landlord,11.06,17.06,^2Laswell: ^7Su misión es encontrar, fijar y acabar con objetivos VIP de la red de Al Qatala en Verdansk.,,
cp_mbi_landlord,17.15,23.23,^2Kamarov: ^7Estos VIP son poderosos y colaboradores bien conectados que ofrecen ayuda y materiales al enemigo.,,
cp_mbi_landlord,24,30.17,^2Laswell: ^7Todos trabajan para el maestro que lidera el ataque de Al Qatala en Verdansk. Para encontrarlo, los necesitamos.,,
cp_mbi_landlord,31.06,36.2,^2Kamarov:^7 Su primera operación es contra una figura de alto rango de Al Qatala llamada "Almalik", el Propietario.,,
cp_mbi_landlord,37.15,45.07,^2Laswell: ^7Almalik tiene varios almacenes en Verdansk, que sirven como depósitos de armas para Al Qatala. Posee armas y terroristas.,,
cp_mbi_landlord,45.24,52.27,^2Kamarov:^7 Su equipo se infiltrará en el distrito sur para atacar y capturar al personal enemigo y obtener información sobre sus almacenes.,,
cp_mbi_landlord,53.09,59.28,^2Laswell: ^7Si lo hacen bien, anularemos los depósitos de Al Qatala. Ganen la lotería y encontraremos a Almalik.,,
cp_mbi_landlord,60.17,64.04,^2Laswell: ^7Si lo encuentran, tengan la seguridad de que estará bien protegido.,,
cp_mbi_landlord,64.29,65.22,^2Laswell: ^7Buena cacería…,,
cp_mbi_outro,1.12,5.08,^2Laswell:^7 Desde el comienzo de esta operación, el acuerdo para un armisticio causó recelo.,,
cp_mbi_outro,5.25,8.02,^2Laswell: ^7Dijeron que no podríamos trabajar con Rusia...,,
cp_mbi_outro,8.14,9.02,^2Laswell: ^7... se equivocaron.,,
cp_mbi_outro,9.22,17.11,^2Laswell:^7 Gracias a sus equipos de asalto, se erradicó la red de apoyo de Al Qatala, y los agentes del poder que alentaban esta amenaza terrorista fueron eliminados.,,
cp_mbi_outro,17.19,19.24,^2Laswell: ^7Sin embargo, el señor Z sigue activo.,,
cp_mbi_outro,20.09,23.2,^2Laswell: ^7Sus armas están listas para usarse por terroristas en todo Verdansk.,,
cp_mbi_outro,24.01,29.2,^2Laswell:^7 Nuestra presencia en el área es la única línea de defensa que evita que Z y el nuevo jefe de Al Qatala penetren hacia Urzikistán.,,
cp_mbi_outro,30.07,36.1,^2Kamarov:^7 Este líder desconocido ahora hace llamar a su ejército "Al Qatala Aljahdid", los nuevos asesinos.,,
cp_mbi_outro,37.04,42.17,^2Laswell:^7 Y ellos se dirigen a él como "el León Inmortal" o Khaled Al-Asad.,,
cp_mbi_smuggler,1.25,4.01,^2Laswell: ^7Nuestras victorias en Verdansk agitaron el avispero.,,
