creek_1_load,3.4,13.4,"^1INTERROGADOR: ^7La misión de Hudson en Kowloon fue un éxito. Había descubierto la baza final de Dragovich, el Nova 6, una neurotoxina tan letal que, una vez expuesto, te mataría antes de que cayeras al suelo."
creek_1_load,13.4,15.4,^1MASON: ^7El arma de Dragovich.
creek_1_load,16.5,22.5,"^1INTERROGADOR: ^7Vuelva a Vietnam, Mason. ¿Viktor Reznov seguía con usted después de que huyera del complejo del MACV?"
creek_1_load,22.5,25.5,^1MASON: ^7Ahh... Reznov me acompañó en todo momento.
creek_1_load,25.5,26.8,^1INTERROGADOR: ^7¿Estás seguro?
creek_1_load,26.8,36.7,^1MASON: ^7Fuimos al norte. El Vietcong nos derribó. ¡Reznov también sobrevivió a eso!
creek_1_load,37,42,"^1MASON: ^7Kravchenko, el perro faldero de Dragovich, sabía que íbamos."
cuba_load,4.1,5.7,^1MASON: ^7No...
cuba_load,5.8,9,"^1INTERROGADOR: ^7No me fastidie, Mason. Sé cuándo me miente."
cuba_load,9.1,12.5,^1INTERROGADOR: ^761. Bahía de Cochinos. ¿Qué pasó?
cuba_load,12.6,16.1,^1MASON: ^7Nos mataron a todos.
cuba_load,16.1,20.5,"^1INTERROGADOR: ^7Es inútil que mienta, Mason. Sabemos que fue con Woods y Bowman."
cuba_load,21.8,25.1,^1MASON: ^7Woods... y Bowman.
cuba_load,34.2,36.8,^1INTERROGADOR: ^7Dragovich. ¿Se acuerda de Dragovich?
cuba_load,36.8,41.6,^1MASON: ^7Castro... Fuimos a matar a Castro.
flashpoint_load,1.5,10.1,"^1INTERROGADOR: ^7Orden ejecutiva, operación Flashpoint... Acabar con su programa espacial. Erradicar su proyecto de misiles de largo alcance."
flashpoint_load,12.5,17.9,^1INTERROGADOR: ^7Eliminar al grupo Ascensión. Científicos nazis acogidos por los rusos tras la guerra.
flashpoint_load,17.9,22.1,"^1MASON: ^7Sí... Necesitaba sus datos, lo que habían aprendido..."
flashpoint_load,22.1,26.3,^1INTERROGADOR: ^7La operación 40 había infiltrado a un agente doble en el grupo Ascensión.
flashpoint_load,26.3,30.4,^1MASON: ^7Grigori Weaver. Tenía que sabotear el cohete.
flashpoint_load,30.4,32.4,"^1INTERROGADOR: ^7Pero algo salió mal, Mason."
flashpoint_load,32.4,35.3,^1MASON: ^7¡No puedo quitarme estos números de la cabeza!
fullahead_load,1.5,5.5,^1MASON: ^7En Vorkuta. Reznov me lo dijo en Vorkuta.
fullahead_load,5.5,6.8,^1INTERROGADOR: ^7¿Qué le dijo?
fullahead_load,6.8,10.3,^1REZNOV: ^7Mason... Escúcheme...
fullahead_load,10.3,14,^1MASON: ^7Fue hace mucho... Muy lejos...
fullahead_load,14,20.3,^1REZNOV: ^7Dragovich. Steiner. Kravchenko. Todos deben morir.
fullahead_load,20.3,22.9,^1MASON: ^7Pero me contó lo que hicieron.
fullahead_load,22.9,25.3,^1MASON: ^7La clase de hombres que eran...
fullahead_load,25.4,28.1,^1MASON: ^7Por qué todos deben morir.
hue_city_load,5.7,9.9,"^1INTERROGADOR: ^7La ofensiva del Tet fue el principio del fin, cuando Estados Unidos empezó a perder la guerra."
hue_city_load,10,14.5,^1INTERROGADOR: ^7En el complejo del MACV de Hue se puso en contacto con el desertor ruso.
hue_city_load,15.2,16,^1MASON: ^7¡No!
hue_city_load,16.1,23.5,"^1INTERROGADOR: ^7Sabemos que fue así. Se entregó en el MACV. Usted estaba allí, Mason. Teníamos información de Dragovich, de todo, pero era un caso perdido."
hue_city_load,23.7,24.4,^1MASON: ^7¡Cierre el pico!
hue_city_load,24.5,31,^1INTERROGADOR: ^7El NVA tenía rodeada la ciudad. El MACV había quedado reducido a cenizas. Seguro que el desertor había muerto.
hue_city_load,31.2,32,^1MASON: ^7¡No había muerto!
hue_city_load,33,36,^1INTERROGADOR: ^7Era un caso perdido pero aun así entró. ¿Por qué?
hue_city_load,36,41.8,^1MASON: ^7Su equipo de protección había desaparecido y no podía aceptar que hubiera muerto. ¡Necesitaba el dossier!
int_escape_load,.1,2.9,"^1REZNOV: ^7Mason, amigo... Dígame..."
int_escape_load,2.9,8.2,^1REZNOV: ^7¿En qué se puede creer cuando uno ha sido traicionado por los suyos?
int_escape_load,8.3,16,"^1REZNOV: ^7Cuando todo lo que es, todo lo que ha hecho, está enterrado bajo las mentiras de hombres corruptos..."
int_escape_load,16.7,25,^1REZNOV: ^7Moriré en este maldito lugar... Solo me mantiene con vida la sed de venganza...
int_escape_load,25.2,26.9,"^1REZNOV: ^7Hay que detenerlo, Mason."
int_escape_load,27,33.3,^1REZNOV: ^7Dragovich... Steiner... Kravchenko... Todos deben morir.
khe_sanh_load,1.9,7.2,"^1INTERROGADOR: ^7Trate de recordar, Mason. Después de Baikonur, ¿adónde lo envió Washington?"
khe_sanh_load,13,16.3,^1MASON: ^7Vietnam. A Khe Sanh.
khe_sanh_load,16.5,18.2,^1INTERROGADOR: ^7¿Fue en 1968?
khe_sanh_load,18.5,25.1,^1MASON: ^7Sí. Formé parte del grupo SOG liderado por Frank Woods. Investigábamos la actividad rusa en Laos.
khe_sanh_load,26,31.7,"^1INTERROGADOR: ^7¿Qué hay de Hudson, su enlace de la CIA? ¿Estaba en Khe Sanh? ¿Lo recuerda allí?"
khe_sanh_load,31.8,38.9,"^1MASON: ^7Hudson, sí. Sr. Gafas de Sol. Era un témpano."
kowloon_load,.1,3.2,^1INTERROGADOR: ^7Tenemos el dossier que el desertor le dio en el MACV. Lo sabemos todo.
kowloon_load,3.2,7.7,"^1INTERROGADOR: ^7Conocemos a los hombres de Dragovich. Kravchenko, Clarke, Steiner."
kowloon_load,7.8,10.6,^1INTERROGADOR: ^7Ya los conoce. Los cerebros del proyecto Nova.
kowloon_load,10.7,14.4,^1MASON: ^7Nova 6. Reznov lo llamaba Nova 6.
kowloon_load,14.5,16.4,^1MASON: ^7Dragovich...
kowloon_load,16.7,18.3,^1INTERROGADOR: ^7¿Qué sabe del doctor Clarke?
kowloon_load,18.3,25.4,^1INTERROGADOR: ^7Sabemos que Clarke fue el ingeniero químico que ayudó a formular el Nova 6. Un narcisista maléfico. Un prodigio degenerado.
kowloon_load,25.4,30.1,"^1INTERROGADOR: ^7Enviaron a Jason Hudson, su enlace, a Kowloon para que interrogara a Clarke. ¿Se acuerda?"
kowloon_load,30.3,33.5,^1MASON: ^7¿Por qué insiste? Ya lo sabe usted todo.
kowloon_load,33.5,38.9,"^1INTERROGADOR: ^7No, Mason. No sabemos el significado de los números. No sabemos desde dónde los emiten."
kowloon_load,38.9,44,^1MASON: ^7Pregúnteselo a Hudson. La misión de Kowloon era suya. Él interrogó a Clarke.
pentagon_load,.1,9,"^1INTERROGADOR: ^7Después de su huida, en la CIA le asignaron a Jason Hudson. ¿Por qué se fió de usted pese a saber que Viktor Reznov lo había ayudado a huir de Vorkuta?"
pentagon_load,9,17,^1MASON: ^7Reznov... era amigo mío... pero no sobrevivió.
pentagon_load,17,21.5,^1INTERROGADOR: ^7Viktor Reznov era comunista. ¿Cómo supo la CIA que usted seguía siendo leal?
pentagon_load,22,27.5,^1MASON: ^7Me pusieron a prueba. Sabían que no me doblegaría y no me doblegaré.
pentagon_load,27.5,30.5,^1INTERROGADOR: ^7El gobierno quería a Dragovich. Quería que usted lo matase.
pentagon_load,31,36,"^1MASON: ^7Sí, como a otros. Se suponía que tenía que matar a otros."
pentagon_load,36,38,"^1INTERROGADOR: ^7¿A quién, Mason?"
